id,uuid,observed_on,license,url,image_url,tag_list
11726829,d5c69faf-f24e-4157-96a5-85edc03c8faf,2018-04-28,,https://www.inaturalist.org/observations/11726829,https://static.inaturalist.org/photos/16768398/medium.jpg,""
11740066,4a01c0d8-8c29-4d79-8e40-25541d9bcd8b,2018-04-28,CC0,https://www.inaturalist.org/observations/11740066,https://inaturalist-open-data.s3.amazonaws.com/photos/16788247/medium.jpg,""
11749567,008779cd-2ed5-4681-b675-ca51214bddf6,2018-04-28,CC-BY-NC,https://www.inaturalist.org/observations/11749567,https://inaturalist-open-data.s3.amazonaws.com/photos/16802642/medium.jpeg,""
11756217,e033d9d7-bf37-4b84-99a2-b65892909612,2018-04-28,,https://www.inaturalist.org/observations/11756217,https://static.inaturalist.org/photos/16812626/medium.jpeg,""
11836437,1f824257-338a-4b22-a2c4-ef29fe07b13b,2018-04-29,,https://www.inaturalist.org/observations/11836437,https://static.inaturalist.org/photos/16936998/medium.jpg,""
11898894,04b53ace-b14a-4840-82c4-cee557efe3dd,2018-04-29,,https://www.inaturalist.org/observations/11898894,https://static.inaturalist.org/photos/17033395/medium.jpg,""
11961735,b8f0fae3-d414-48bb-807d-cb220f26ac6e,2018-04-06,CC-BY-NC,https://www.inaturalist.org/observations/11961735,https://inaturalist-open-data.s3.amazonaws.com/photos/17120390/medium.jpg,""
12018267,cb0747fc-6686-4c35-8df4-178a4904ec28,2018-05-01,,https://www.inaturalist.org/observations/12018267,https://static.inaturalist.org/photos/17224254/medium.jpg,""
12079065,4e2c01a4-bbf9-4f5c-81bd-c676573952f3,2018-04-29,CC-BY-NC,https://www.inaturalist.org/observations/12079065,https://inaturalist-open-data.s3.amazonaws.com/photos/17322433/medium.jpeg,""
12089508,2896eb4f-1ef5-408d-8994-ff195592d410,2018-04-30,CC-BY-NC,https://www.inaturalist.org/observations/12089508,https://inaturalist-open-data.s3.amazonaws.com/photos/17338561/medium.jpeg,""
12117928,9dc1113c-1b20-4c03-ac39-e690d4028833,2018-05-03,,https://www.inaturalist.org/observations/12117928,https://static.inaturalist.org/photos/17385187/medium.jpg,""
12161096,49b17938-24f3-4bd9-b1a5-97311395768e,2018-05-04,CC-BY,https://www.inaturalist.org/observations/12161096,https://inaturalist-open-data.s3.amazonaws.com/photos/17456840/medium.jpg,""
12214469,376f55b0-4435-4080-b484-cf1359c7f259,2018-05-06,CC-BY-NC,https://www.inaturalist.org/observations/12214469,https://inaturalist-open-data.s3.amazonaws.com/photos/17548763/medium.jpeg,""
12216252,c43e35cd-573d-48e8-b296-729816ef4fdd,2018-05-06,CC-BY-NC,https://www.inaturalist.org/observations/12216252,https://inaturalist-open-data.s3.amazonaws.com/photos/17552504/medium.jpeg,""
12218882,7a674ee0-4af8-4847-ad3c-f757f1c244db,2018-04-06,CC-BY-NC,https://www.inaturalist.org/observations/12218882,https://inaturalist-open-data.s3.amazonaws.com/photos/17556857/medium.jpg,""
12661544,de208fc3-5cc0-4d10-aab0-30db744821d2,2018-05-19,CC-BY-NC,https://www.inaturalist.org/observations/12661544,https://inaturalist-open-data.s3.amazonaws.com/photos/18313250/medium.jpeg,""
12984203,b2430f14-d222-4ec5-85fe-b4f94b388393,2018-05-30,CC0,https://www.inaturalist.org/observations/12984203,https://inaturalist-open-data.s3.amazonaws.com/photos/18882587/medium.jpeg,""
14357294,c7202709-70c6-472d-9450-ab1f16c8352a,2018-07-14,CC-BY-NC,https://www.inaturalist.org/observations/14357294,https://inaturalist-open-data.s3.amazonaws.com/photos/21337984/medium.jpg,""
14513362,10912f60-bf0b-4f56-b1a3-99e32e546e35,2018-07-19,,https://www.inaturalist.org/observations/14513362,https://static.inaturalist.org/photos/21608392/medium.jpg,""
14690112,b910d947-08c3-4c32-9a1c-23404a8fc4ef,2018-07-24,,https://www.inaturalist.org/observations/14690112,https://static.inaturalist.org/photos/21901631/medium.jpg,""
18437871,fe5d0321-9779-49f8-b444-e15b4c3c0987,2018-11-16,CC-BY-NC,https://www.inaturalist.org/observations/18437871,https://inaturalist-open-data.s3.amazonaws.com/photos/28187092/medium.jpg,""
19122705,b0b29e24-94a0-48c5-b7fe-2b601895bdfe,2018-12-20,,https://www.inaturalist.org/observations/19122705,https://static.inaturalist.org/photos/29352788/medium.jpg,""
20366326,d3e7875b-c42e-4880-94f8-1aa8d0d41d63,2012-05-05,CC-BY-NC,https://www.inaturalist.org/observations/20366326,https://inaturalist-open-data.s3.amazonaws.com/photos/31448312/medium.jpeg,""
20437279,ef879bab-d012-4677-9133-a9d8703c409c,2019-02-17,CC-BY-NC,https://www.inaturalist.org/observations/20437279,https://inaturalist-open-data.s3.amazonaws.com/photos/31553588/medium.jpg,""
20736215,7c2d698f-dc88-464e-9b02-05eaa28a6f00,2004-12-06,CC0,https://www.inaturalist.org/observations/20736215,,SAMO3096
20743807,bcd6a991-7030-4328-9467-72eb3fa00447,2004-12-06,CC0,https://www.inaturalist.org/observations/20743807,,SAMO3095
20818352,61b449c2-d404-4970-9d8c-c8199b8f1d86,2019-02-27,,https://www.inaturalist.org/observations/20818352,https://static.inaturalist.org/photos/32110054/medium.jpg,""
21066904,38135d10-d12f-4576-9c1d-bce544d58090,2019-03-03,CC-BY-NC,https://www.inaturalist.org/observations/21066904,https://inaturalist-open-data.s3.amazonaws.com/photos/32549437/medium.jpg,""
21205202,874fcc61-044e-4e52-bfd3-98f395fdfc5d,2019-03-11,CC-BY-NC,https://www.inaturalist.org/observations/21205202,https://inaturalist-open-data.s3.amazonaws.com/photos/32777961/medium.jpg,""
21408540,0b4e8148-1e8c-4e0b-ab10-0d145d4dabe2,2019-03-19,CC-BY-NC,https://www.inaturalist.org/observations/21408540,https://inaturalist-open-data.s3.amazonaws.com/photos/33119859/medium.jpeg,""
21442465,2f2d4228-520c-4946-bddd-b08fefa0b360,2019-03-20,CC-BY-NC,https://www.inaturalist.org/observations/21442465,https://inaturalist-open-data.s3.amazonaws.com/photos/33175220/medium.jpg,""
21623831,7e0ef873-5062-4c8e-9779-88cb82a839b5,2019-03-25,CC-BY-NC,https://www.inaturalist.org/observations/21623831,https://inaturalist-open-data.s3.amazonaws.com/photos/33476895/medium.jpg,""
21623907,5e97b5f9-a1ad-4bc3-96ad-fa1a4e65ad87,2019-03-13,,https://www.inaturalist.org/observations/21623907,https://static.inaturalist.org/photos/33477020/medium.jpg,""
21701906,c5df8ed6-71da-46a8-8367-6e886138b309,2019-03-26,CC-BY-NC,https://www.inaturalist.org/observations/21701906,https://static.inaturalist.org/photos/33605264/medium.jpeg,""
21705102,9aae4a6b-e3ff-4a0e-b1e9-ef73f487b5b7,2019-03-28,,https://www.inaturalist.org/observations/21705102,https://static.inaturalist.org/photos/33610412/medium.jpg,""
21758379,b4eb4199-88d9-4899-9037-07e5e9a3d75b,2019-03-29,CC-BY-NC,https://www.inaturalist.org/observations/21758379,https://inaturalist-open-data.s3.amazonaws.com/photos/33698761/medium.jpg,""
22039839,d586fae2-acfc-4751-98f9-f5400c3da434,2019-04-05,CC-BY,https://www.inaturalist.org/observations/22039839,https://inaturalist-open-data.s3.amazonaws.com/photos/34147628/medium.jpg,""
22112953,e28730dd-86e9-4ab1-a25b-e7d2f545d110,2019-04-06,CC-BY-NC,https://www.inaturalist.org/observations/22112953,https://inaturalist-open-data.s3.amazonaws.com/photos/34230801/medium.jpg,""
22113095,d0835ceb-dc66-4b60-a43c-c6ca888cca19,2019-04-06,CC-BY-NC,https://www.inaturalist.org/observations/22113095,https://inaturalist-open-data.s3.amazonaws.com/photos/34231021/medium.jpg,""
22113577,57ed3005-e518-4e86-a3a5-d43ae5a26b1a,2019-04-06,,https://www.inaturalist.org/observations/22113577,https://static.inaturalist.org/photos/34248348/medium.jpeg,""
22113587,fd6173b9-cde1-4e65-904b-bb409ae91927,2019-04-06,,https://www.inaturalist.org/observations/22113587,https://static.inaturalist.org/photos/34282422/medium.jpg,""
22228348,e23b0cbd-53bb-4f1f-883b-14a8edb28070,2019-03-23,CC-BY-NC,https://www.inaturalist.org/observations/22228348,https://inaturalist-open-data.s3.amazonaws.com/photos/34421232/medium.jpeg,""
22245841,3ad105b9-8b19-4659-8441-d9100715f184,2019-04-09,,https://www.inaturalist.org/observations/22245841,https://static.inaturalist.org/photos/34447965/medium.jpg,""
22479344,89742ac1-8f48-476a-8148-450bc96307cf,2019-04-13,CC-BY-SA,https://www.inaturalist.org/observations/22479344,https://inaturalist-open-data.s3.amazonaws.com/photos/34822372/medium.jpg,""
22501348,4a3af34d-3f25-4b80-ba1f-59dbb88f81d8,2019-04-14,CC-BY-NC,https://www.inaturalist.org/observations/22501348,https://inaturalist-open-data.s3.amazonaws.com/photos/34860017/medium.jpg,""
22576667,cb006b15-4c7e-4a07-b5c6-6afa91676086,2019-04-13,CC-BY-SA,https://www.inaturalist.org/observations/22576667,https://inaturalist-open-data.s3.amazonaws.com/photos/34979076/medium.jpg,""
22610575,ae5a21c8-f441-4f2c-80ad-bf779143da10,2019-04-17,,https://www.inaturalist.org/observations/22610575,https://static.inaturalist.org/photos/35032338/medium.jpg,""
